county,lat,long,ID
adams,39.9787786,-91.2110065,0
alexander,37.1801529,-89.3502834,1
bond,38.8630331,-89.4391416,2
boone,42.321246,-88.8235511,3
brown,39.9498214,-90.7485656,4
bureau,41.4016294,-89.5341179,5
calhoun,39.1397507,-90.6506113,6
carroll,42.0647352,-89.9556785,7
cass,39.9682127,-90.250722,8
champaign,40.1164205,-88.2433829,9
christian,39.5212598,-89.2829783,10
clark,39.3260541,-87.7838526,11
clay,38.7340694,-88.4910693,12
clinton,38.5896187,-89.420064,13
coles,39.5266741,-88.2184999,14
cook,41.8197385,-87.756525,15
crawford,39.0131644,-87.7291001,16
cumberland,39.2744299,-88.2423795,17
de witt,40.1734773,-88.9003733,18
douglas,39.7628415,-88.2170516,19
du page,41.9868212,-88.1336506,20
edgar,39.6714952,-87.7340364,21
edwards,38.410254,-88.0584362,22
effingham,39.1201433,-88.54348,23
fayette,39.0001282,-89.0430211,24
ford,40.4980955,-88.2552987,25
franklin,37.9765409,-88.9335327,26
fulton,40.4714305,-90.1845556,27
gallatin,37.7509507,-88.2264519,28
greene,39.3573664,-90.3898985,29
grundy,41.2747363,-88.4119361,30
hamilton,38.0619569,-88.5301136,31
hancock,40.3941712,-91.1458063,32
hardin,37.5137015,-88.2675733,33
henderson,40.8156124,-90.9104547,34
henry,41.3418549,-90.1177442,35
iroquois,40.7351265,-87.8309209,36
jackson,37.7668943,-89.3563845,37
jasper,39.0082423,-88.1552371,38
jefferson,38.3010487,-88.9344303,39
jersey,39.0848464,-90.3303344,40
jo daviess,42.3506664,-90.1743742,41
johnson,37.4501818,-88.8844045,42
kane,41.923434,-88.4248315,43
kankakee,41.1200325,-87.8611531,44
kendall,41.5853584,-88.4319488,45
knox,40.920889,-90.2202325,46
la salle,41.8906567,-87.632396,47
lake,42.079167,-87.7365232,48
lawrence,38.7108998,-87.7194375,49
lee,41.7459056,-89.2888533,50
livingston,40.8682487,-88.5631125,51
logan,40.1075089,-89.3768539,52
macon,39.8455208,-88.9602376,53
macoupin,39.2420653,-89.925212,54
madison,38.811063,-89.9017112,55
marion,37.7306054,-88.9331256,56
marshall,41.0324537,-89.2998456,57
mason,40.2302271,-89.8660433,58
massac,37.2177417,-88.7163312,59
mcdonough,40.4376858,-90.6780272,60
mchenry,42.3294391,-88.4605713,61
mclean,40.4631789,-88.8196613,62
menard,40.0166667,-89.7858065,63
mercer,41.2019729,-90.7398717,64
monroe,38.2722313,-90.1792484,65
montgomery,39.2052633,-89.5057126,66
morgan,39.7062265,-90.190335,67
moultrie,39.6391442,-88.6087498,68
ogle,42.0397014,-89.3138599,69
peoria,40.6938609,-89.5891008,70
perry,38.0772859,-89.3760499,71
piatt,39.967291,-88.6072399,72
pike,39.6108707,-90.8538306,73
pope,37.3933531,-88.5904425,74
pulaski,37.2314232,-89.1183427,75
putnam,41.2025915,-89.2676414,76
randolph,38.0472916,-89.8107962,77
richland,38.7060457,-88.0949352,78
rock island,41.5094771,-90.5787477,79
saline,37.750075,-88.5302584,80
sangamon,39.7623668,-89.6454905,81
schuyler,40.1370869,-90.5697373,82
scott,39.6333408,-90.4753685,83
shelby,39.3665064,-88.7886278,84
st clair,38.4616972,-89.9324347,85
stark,41.0712135,-89.8066831,86
stephenson,42.3503474,-89.6735637,87
tazewell,40.5126429,-89.5442084,88
union,37.4616454,-89.2504793,89
vermilion,40.1749809,-87.7323857,90
wabash,38.4615994,-87.8460903,91
warren,40.8442828,-90.6168408,92
washington,39.76697225,-86.16026715,93
wayne,38.4251958,-88.4197678,94
white,38.0632329,-88.1577725,95
whiteside,41.7612332,-89.9214744,96
will,41.4194058,-87.9994754,97
williamson,37.7248502,-88.9143385,98
winnebago,42.3255276,-89.1496574,99
woodford,40.8145359,-89.2074215,100
adams,40.7371667,-84.9347295,101
allen,41.0975573,-85.0562084,102
bartholomew,39.1914156,-85.8204601,103
benton,40.6034281,-87.3235164,104
blackford,40.4692826,-85.3305529,105
boone,40.0459913,-86.4650842,106
brown,39.1682855,-86.2297004,107
carroll,40.5802239,-86.5693296,108
cass,40.7808235,-86.3449159,109
clark,38.4941217,-85.7169081,110
clay,39.3864958,-87.1025862,111
clinton,40.2992769,-86.4692735,112
crawford,38.304425,-86.444022,113
daviess,38.6776099,-87.0813484,114
dearborn,39.1340338,-84.9820997,115
decatur,39.2862128,-85.4943058,116
delaware,40.2193275,-85.4040612,117
dubois,38.3644324,-86.8870278,118
elkhart,41.6819935,-85.9766671,119
fayette,39.619235,-85.179378,120
floyd,38.299,-85.89332336,121
fountain,40.125252,-87.2497418,122
franklin,39.4806056,-86.0549863,123
fulton,41.0421416,-86.2875206,124
gibson,38.3079744,-87.5775949,125
grant,40.5114735,-85.6540606,126
greene,39.0227107,-86.9958489,127
hamilton,40.0749813,-86.0498885,128
hancock,39.8127873,-85.7874738,129
harrison,38.1816187,-86.1066917,130
hendricks,39.7565309,-86.5173641,131
henry,39.9297608,-85.4043542,132
howard,40.4787061,-86.1350343,133
huntington,40.8008286,-85.5018494,134
jackson,38.9023184,-86.0650856,135
jasper,41.0321808,-87.1066598,136
jay,40.4370864,-85.0212356,137
jefferson,38.8166724,-85.4299489,138
jennings,38.9957749,-85.6359201,139
johnson,39.4891804,-86.1079903,140
knox,38.687009,-87.3811461,141
kosciusko,41.2351957,-85.8529731,142
la porte,41.6105983,-86.7225227,143
lagrange,41.6372578,-85.4216948,144
lake,41.4193829,-87.3692227,145
lawrence,38.8400395,-86.4880717,146
madison,38.7374222,-85.3829812,147
marion,40.5583739,-85.6591442,148
marshall,41.322843,-86.2809625,149
martin,38.6705579,-86.8022436,150
miami,40.6144919,-86.1059443,151
monroe,39.1294237,-86.5187646,152
montgomery,40.0361447,-86.9007083,153
morgan,39.4665575,-86.4556794,154
newton,40.939576,-87.3966953,155
noble,41.3990708,-85.4193348,156
ohio,38.9480496,-84.9581728,157
orange,38.5421361,-86.4953216,158
owen,39.2984518,-86.8508562,159
parke,39.7686321,-87.2158436,160
perry,38.0893386,-86.632911,161
pike,38.4159433,-87.214144,162
porter,41.4457032,-87.0724971,163
posey,38.0145359,-87.8543645,164
pulaski,41.031393,-86.6990692,165
putnam,39.6666195,-86.8374032,166
randolph,40.1560108,-85.011566,167
ripley,39.0846316,-85.2691784,168
rush,39.6220357,-85.4731911,169
scott,38.6727039,-85.7444145,170
shelby,39.493485,-85.8190596,171
spencer,38.0288806,-86.9976446,172
st. joseph,41.1052896,-85.1325566,173
starke,41.2753164,-86.6457565,174
steuben,41.6414101,-85.0023642,175
sullivan,39.0492722,-87.4172644,176
switzerland,38.8249258,-85.0373975,177
tippecanoe,40.3916066,-86.8879689,178
tipton,40.2899154,-86.058442,179
union,39.6196086,-84.9292376,180
